Arrival_Time,Air_conditioner,TV,Lamp,Robotic Vacuum Cleaner,flowerPot,Washing Machine,Lamp2,Smart Cooking pot,CCTV,mixer,AI Speaker,Oven
2017.7.17 0:00,665,38.25,2.5,2.5,2.2,220,11.25,6.7,1.5,1.4,8.75,180
2017.7.17 1:00,498.75,15.3,1,2.5,2.2,220,3.75,6.7,1.5,1.4,3.5,180
2017.7.17 2:00,166.25,15.3,1,2.5,2.2,220,1.5,6.7,1.5,1.4,3.5,180
2017.7.17 3:00,66.5,15.3,1,2.5,2.2,220,1.5,6.7,1.5,1.4,3.5,180
2017.7.17 4:00,66.5,38.25,1,2.5,2.2,220,1.5,6.7,1.5,1.4,3.5,180
2017.7.17 5:00,166.25,114.75,2.5,2.5,2.2,220,1.5,6.7,1.5,1.4,8.75,180
2017.7.17 6:00,498.75,153,7.5,2.5,5.5,220,1.5,6.7,1.5,3.75,26.25,180
2017.7.17 7:00,665,153,10,6.25,16.5,220,3.75,6.7,3.75,11.25,35,180
2017.7.17 8:00,665,153,10,18.75,22,220,11.25,6.7,11.25,15,35,180
2017.7.17 9:00,665,114.75,7.5,25,22,220,15,6.7,15,11.25,35,180
2017.7.17 10:00,498.75,38.25,2.5,25,22,220,15,6.7,15,3.75,35,180
2017.7.17 11:00,166.25,15.3,1,25,22,220,15,6.7,15,1.4,35,180
2017.7.17 12:00,66.5,15.3,1,18.75,22,220,11.25,6.7,15,1.4,35,180
2017.7.17 13:00,66.5,15.3,1,6.25,22,220,3.75,6.7,15,1.4,35,180
2017.7.17 14:00,66.5,15.3,1,2.5,22,220,1.5,6.7,15,1.4,35,180
2017.7.17 15:00,66.5,15.3,1,2.5,22,220,1.5,6.7,15,1.4,35,180
2017.7.17 16:00,66.5,15.3,1,6.25,22,220,1.5,16.75,15,1.4,35,180
2017.7.17 17:00,166.25,15.3,1,18.75,16.5,220,3.75,50.25,11.25,1.4,35,180
2017.7.17 18:00,498.75,15.3,1,25,5.5,220,11.25,67,3.75,1.4,35,180
2017.7.17 19:00,665,38.25,2.5,25,2.2,220,15,50.25,1.5,1.4,35,180
2017.7.17 20:00,665,114.75,7.5,25,2.2,220,15,16.75,1.5,1.4,35,180
2017.7.17 21:00,665,153,10,18.75,2.2,220,15,6.7,1.5,1.4,35,180
2017.7.17 22:00,665,153,10,6.25,2.2,220,15,6.7,1.5,1.4,35,180
2017.7.17 23:00,665,114.75,7.5,2.5,2.2,220,15,6.7,1.5,1.4,26.25,180
2017.7.18 0:00,665,38.25,2.5,2.5,2.2,220,11.25,6.7,1.5,1.4,8.75,180
2017.7.18 1:00,498.75,15.3,1,2.5,2.2,220,3.75,6.7,1.5,1.4,3.5,180
